Month,Inflation_Annual,Broad_Money_M2,USDZMW,Lending_Margin,Average_Lending_Rate,Weighted_Interbank_Rate,Actual_Ratio_%,BoZ_Policy_Rate
2013-01,7,24050418.36,5.4131875,7,16.25,7.570873786,7.494042761,9.25
2013-02,6.9,26264473.89,5.354885268,7,16.25,7.5914602,9.476507916,9.25
2013-03,6.6,24549041.53,5.409399615,6.902631579,16.15263158,9.397222222,9.833738146,9.25
2013-04,6.5,25205242.15,5.295588889,7,16.25,10.00502302,9.066850091,9.25
2013-05,7,25439798.02,5.295588889,6.685740741,15.93574074,11.22,8.699060153,9.25
2013-06,7.3,25260519.03,,6.713157895,16.21315789,11.14,10.48162219,9.5
2013-07,7.3,26243403.94,5.4782,6.668904317,16.41890432,11.2,9.305791986,9.75
2013-08,7.1,26802798.44,5.3775,6.632453085,16.38245309,11.04517705,10.0050478,9.75
2013-09,7,27507733.24,5.3321,6.666060743,16.41606074,9.69,10.10698916,9.75
2013-10,6.888701923,28020647.46,5.4741,6.638495548,16.38849555,9.564002732,9.210302849,9.75
2013-11,7,27971662.19,5.5207,6.270004123,16.02000412,9.801025641,9.678390248,9.75
2013-12,7.1,29540184.38,5.5126,6.643685403,16.3936854,10.14,8.93854677,9.75
2014-01,7.3,30146834.35,5.5779,6.654544737,16.40454474,9.951530612,11.09015876,9.75
2014-02,7.6,30774744.8,5.8062,6.88014195,17.13014195,10.29,8.416372406,10.25
2014-03,7.7,31853100.63,6.1031,6.705777413,16.95577741,15.62,15.85459873,10.25
2014-04,7.8,32590890.33,6.3147,6.751421774,18.75142177,17.64292779,14.8302314,12
2014-05,7.8,32986589.87,6.8148,6.275020492,18.27502049,20.12933754,16.57309925,12
2014-06,7.9,30297035.69,6.2601,7.099862597,19.0998626,23.44,13.79970995,12
2014-07,8,30189826.71,6.1388,7.083684211,19.08368421,17.60103795,14.6447995,12
2014-08,8,31236706.39,5.9981,6.994210526,18.99421053,12.91,15.10471111,12
2014-09,7.8,31334177.4,6.2609,7.432218144,19.43221814,13.05,13.77873899,12
2014-10,7.9,31658017.6,6.2925,8.011052632,20.01105263,11.3375,13.70021221,12
2014-11,8.1,31818376.75,6.3056,7.948421053,20.44842105,11.62753002,14.1997386,12.5
2014-12,7.9,32880092.14,6.3856,7.939262553,20.43926255,12,14.08398513,12.5
2015-01,7.7,33775522.48,6.4811,8.09155771,20.59155771,11.86,13.84277462,12.5
2015-02,7.4,33851579.89,6.8607,7.926251721,20.42625172,12.48,13.98055419,12.5
2015-03,7.2,35079605.27,7.5767,7.904935931,20.40493593,10.8,13.66527894,12.5
2015-04,7.2,33971290.11,7.4296,7.967269108,20.46726911,14.05297145,18.27913052,12.5
2015-05,6.9,34997382.06,7.2845,8.016315789,20.51631579,14.59609778,18.27913052,12.5
2015-06,7.1,34314724.7,7.4592,7.731933569,20.23193357,14.6135,17.30150387,12.5
2015-07,7.1,34823458.83,7.662,8.18169052,20.68169052,14.69,17.81920561,12.5
2015-08,7.3,39221173.94,8.7206,8.246454555,20.74645456,14.54961227,17.62915854,12.5
2015-09,7.7,42479614.85,12.0106,8.220734167,20.72073417,14.69333333,17.69967277,12.5
2015-10,14.3,45593256.2,12.546,8.431472578,20.93147258,14.72298326,18.10027316,12.5
2015-11,19.5,42572350.92,10.3185,7.729390268,23.22939027,24.6954781,16.32627134,15.5
2015-12,21.1,41061299.46,10.9806,7.832540981,23.33254098,25.7379,16.77162503,15.5
2016-01,21.8,39747424.76,11.2543,10.41834439,25.91834439,26.62504094,17.61080422,15.5
2016-02,22.9,40155846.81,11.3742,10.85263556,26.35263556,27.50886525,17.06650938,15.5
2016-03,22.2,40286306.99,11.1353,11.40022635,26.90022635,27.27,18.60121365,15.5
2016-04,21.8,38739778.08,9.5967,11.40427197,26.90427197,25.92,17.56021508,15.5
2016-05,21.3,41143297.5,10.4281,12.97863078,28.47863078,17.59,17.43434643,15.5
2016-06,21,40623538.55,9.9283,13.16404987,28.66404987,17.6926711,17.7115901,15.5
2016-07,20.2,42353208.19,10.2497,13.71639041,29.21639041,18,18.04270056,15.5
2016-08,19.6,39822702.25,9.5319,13.19916049,28.69916049,18.2452426,17.15649467,15.5
2016-09,18.9,40454872.27,9.9391,13.82766932,29.32766932,16.39281818,17.99513289,15.5
2016-10,12.5,40563827.66,9.7008,13.61947529,29.11947529,16.53050112,17.89463781,15.5
2016-11,8.8,42791287.65,9.904,13.93213087,29.43213087,16.50757737,17.39575703,15.5
